Sample 1 Strain,Sample 2 Strain,Sample 3 Strain,Time (s)
0.009523809524,0.01428571429,0.01904761905,0
0.02142857143,0.02857142857,0.0380952381,5
0.03333333333,0.04285714286,0.05238095238,10
0.0380952381,0.04761904762,0.06666666667,15
0.04285714286,0.05238095238,0.09047619048,20
0.04761904762,0.05714285714,,30
0.05714285714,0.0619047619,,40
0.0619047619,0.06666666667,,50
0.06666666667,0.07380952381,,60
0.07142857143,0.08095238095,,70
0.07619047619,0.09523809524,,80
0.07857142857,,,90
0.08095238095,,,100
0.08333333333,,,110
0.08571428571,,,120
0.0880952381,,,130
0.09047619048,,,140
0.09285714286,,,150
0.09523809524,,,160
0.09761904762,,,170
0.1,,,180
0.1047619048,,,190
0.1071428571,,,200
0.1095238095,,,210
0.1119047619,,,220
0.1142857143,,,230
0.1166666667,,,240
0.119047619,,,250
0.1238095238,,,260
0.1285714286,,,270
0.1333333333,,,280
0.1404761905,,,290